ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
"63241","Test Case","ISS\Cyber Integrity\Topology\ Topology map UI display, linkages, Map Image",,,,"Integrity\_Aha-HexagonPPM\Cyber\Integrity\Topology","FIRTH Suzan M (Sue) <suzan.firth@hexagon.com>","Ready"
,,,"1","Prerequisite: 
Predecessor 67869 has been run","
",,,
,,,"2","Map Display Filter options- links Info: for Network device to Recon device
On both VMs:
Open Topology page
 Click the filter icon to open Map Display Filters, enable Link Info and close the popup
Navigate to the network switch DEVLAB-HIR-M102
Zoom in enough to see the Inventory Information for Mac Addresses (which is saved in the Perspective editor which should still be selected). 
 


","On both VMs this switch has a link to 2 Recon nodes

 The links have a label at each end (zoom in!) which is the same on both VMs
At the Recon end the label is similar to ""Network Adaptor.....""
At the switch end the label is a number in the format ""x/y"" 
See attached screenshot for an example of where to look for this information
NOTE! IN this DB you will see to instances of a VM IAHcVPPASISQA14. This is a mistake in the DB and should be ignored for the purpose of testing
",,,
,,,"3","Click on the switch to select it 
","The links are now highlighted in purple when the switch is selected and mouse over the switch
",,,
,,,"4","Right click the Switch > Details and in the Details, popup select MAC Tab

","The Interface column number for the 2 rows with Type = Endpt match the numbers on the links at the switch end (""x/y"") that link to the 2 recon assets 

The 2 rows with the link interface numbers above have the Mac addresses displayed in the Recon Nodes' Perspective information
 The information is the same on both VMs 
",,,
,,,"5","Find the Switch DEVLAB-CIS-2960X","It has one Recon Device attached.
The link has a label at each end
At the Recon end the label similar to ""Network Adaptor.....""
At the switch end the label is Gi/1/0/13
",,,
,,,"6","Right click the Switch > Details and in the Details, popup select MAC Tab
","The Interface column number for the row with Type = Endpt matches the numbers on the link at the switch end that links to the recon node 

The MAC table row with the link interface number above has the Mac address displayed in the Recon Node's Perspective information
",,,
,,,"7","Test link Info is correct between Network devices and LLDP Discovery assets
 On both VMs
 In the Details popup for Router DEVLAB-HIR-M102 select LLDP tab.
  ","Under remote Device column, the linked switches are listed, and the LLDP Discovery Device.
The Local Int numbers match the labels on the links to these switches/LLDP Device
The information is the same on both VMs
[Note: The Network linkages are not correct for all switches. There is an Aha Idea created to readdress how linkages work so until then all we can test is that the display is the same as the previous version]",,,
,,,"8","Click on each of the 2 connected switches in turn and open Details - LLDP tab
 
 ","The Remote Device column includes the DEVLAB-HIR-M102
The Remote Int is representative of the same link as the Local Int on DEVLAB-HIR-M102, although its in a different format (e.g. port-004-00004 represents 4/4... )
 The information is the same on both VMs",,,
,,,"9","Click on the LLDP Discovery asset and bring up Details -Properties","The Remote Data value matches the Local Int on DEVLAB-HIR-M102 ",,,
,,,"10","Test Map image
 Click the image icon in tool bar","An image file is created
When opened it shows the Topology map in its current customization: zoom, perspective editor, location",,,
,,,"11","Test delete Perspective selection

Ensure the Perspective you created in the previous test case is selected and to the right of  Select a perspective  drop down click the trash can button
","A popup is displayed for you to confirm the deletion",,,
,,,"12","Delete the Perspective","The Trashcan button is disabled. The map doesn't change its display",,,
,,,"13"," click the Select a Perspective drop down","It displays 'NO DATA FOUND'",,,
"63280","Test Case","ISS\Cyber Integrity\Topology\ Topology UI - Asset Details tabs in Prep DB",,,,"Integrity\_Aha-HexagonPPM\Cyber\Integrity\Topology","FIRTH Suzan M (Sue) <suzan.firth@hexagon.com>","Ready"
,,,"1","Prerequisite: Prerequsite:Restore or Connect to Prep database
 \QASTORE01\Database Backups\Integrity Datasets_Databases\REGRESSION TEST DATABASES\X.X\Prep database where X.X is version under test

On one of the Release Build VMs (IAHcVPPASSQLQA2 or IAHcVPPASISQA09) restore and connect to a release version of the same database that is located here:
 \QASTORE01\Database Backups\Integrity Datasets_Databases\REGRESSION TEST DATABASES\Y.Y \Prep Database. Where Y.Y is the released version of integrity

","
",,,
,,,"2","iisreset
 Navigate to Cyber web page - Top level Location is selected
 Go to Asset hierarchy and expand the parent nodes GASYNB* and each sub nodes 
DMZ*.
  Select each of the Recon data owners (there is one in each DMZ* and one directly under GASYNB) 
Expand them and drill down through the tree until you see the PC object icon(s) for the PC names
Get a screenshot ","
",,,
,,,"3","Check the expected Recon assets are displayed in Topology
Go to Topology
 Expand the GASYNB Group via the '+'
Click the filter icon and in the Map Display Filters enable Navigation Menu. In the popup collapse all the other asset types apart from WORKSTATION - see attached screenshot
","The WORKSTATION list contains the expected recon computer(s) for the sublocation you selected as seen in Asset Hierarchy",,,
